"ANO_ELEICAO","NUM_TURNO","NUMERO_CAND","NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UF","TOTAL_VOTACAO"
"2010","1","1060","OZORIO DE AQUINO","6","RJ","153"
"2010","1","10600","GILSON DOS SANTOS","7","PR","1980"
"2010","1","10600","PROFESSOR JORGINHO","7","BA","447"
"2010","1","10600","TITI","7","RS","910"
"2010","1","10610","ARLI FERREIRA","7","BA","386"
"2010","1","10610","MARIA ALICE","7","PR","442"
"2010","1","10610","MATEUS GOMES","7","RS","399"
"2010","1","10615","SAVIO","7","PA","924"
"2010","1","1062","MONICA MELO","6","RJ","156"
"2010","1","10622","VALDIR MOURA","7","PA","1271"
"2010","1","1063","PEDRO CHAGAS","6","RJ","356"
"2010","1","10631","JACKELINE","7","PB","0"
"2010","1","10638","SERGIO LEMBERCK","7","RJ","203"
"2010","1","1066","CLEBER LUIZ","6","RJ","380"
"2010","1","10665","DINAIR DO CLUBE DE MÃES","7","MT","491"
"2010","1","10666","INSPETOR TEIXEIRA","7","MA","387"
"2010","1","10666","IVAN PEREIRA","7","BA","287"
"2010","1","10666","NILO CAETANO","7","RR","1245"
"2010","1","10667","DANIEL LOURENCO","7","RJ","280"
"2010","1","10678","ANILDO PRADO","7","RO","3511"
"2010","1","10678","ARIMATEIA","7","RR","1616"
"2010","1","10678","PASTOR JOÃO PAULO","7","RJ","1220"
"2010","1","10678","ZÉ MARIA","7","GO","1758"
"2010","1","1068","ABRAAO CARDOSO","6","RJ","765"
"2010","1","10685","PAULO CAETANO","7","RJ","1020"
"2010","1","1069","MARCELO AMENDOIM","6","RJ","1716"
"2010","1","1070","LUIZA ZWANG","6","RJ","1015"
"2010","1","10700","WELLINGTON LINHARES","7","CE","201"
"2010","1","10705","MISSIONÁRIA RAIMUNDA","7","BA","368"
"2010","1","10707","ROSEANE ROCHA","7","SP","184"
"2010","1","1071","ADEMILTO BOMBEIRAO","6","RJ","500"
"2010","1","10719","RODRIGO MARTINS RODRIGUEZ","7","MG","433"
"2010","1","10728","VANDER DANTAS","7","RJ","418"
"2010","1","10729","VIEIRA REIS","7","RJ","5248"
"2010","1","10733","JOSE JOAO","7","MA","377"
"2010","1","10737","CEL GUIMARAES","7","PA","726"
"2010","1","10737","FELICISSIMA","7","MG","10"
"2010","1","10737","PAULO LIMA","8","DF","295"
"2010","1","1075","MONICA LUCAS","6","RJ","86"
"2010","1","10755","JOAO MENDES DE JESUS","7","RJ","8"
"2010","1","1076","DENISE MUNIZ","6","RJ","797"
"2010","1","1077","EDILSON MAIA","6","RJ","838"
"2010","1","10777","ARAPUÁ","7","RN","252"
"2010","1","10777","ARI MOREIRA","7","PA","1040"
"2010","1","10777","BETINHO","7","MS","1814"
"2010","1","10777","CHURRASCO","7","RS","546"
"2010","1","10777","CICERO","7","AP","3041"
